label,location_label,latitude,longitude,radius,event_start_date,event_start_time,event_duration,hours_before_start,hours_after_end,details,web,icon,affected_garages_ids,affected_areas
"San Francisco's Next Congress Member? The Candidates Debate - Co-presented by City Arts & Lectures, Commonwealth Club World Affairs, KOED, and Manny's",Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-03-31,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Gina Gershon,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-04-03,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Emma Straub in conversation with Ayelet Waldman,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-04-11,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Ada Limón - Co-presented with Litquake in conversation with Alexis Madrigal,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-04-14,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Planet Money with Alex Mayyasi & Kenny Malone and special guests Jack Clark & Brandon Jew,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-04-15,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Sir Demis Hassabis & Sebastian Mallaby,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-04-20,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Sharon Brous in conversation with john a. powell,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-04-23,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
David Szalay - A City Arts & Lectures Salon in conversation with Rita Bullwinkel,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-04-28,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Rachel Goldberg-Polin,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-05-04,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Adam Mansbach & W. Kamau Bell,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-05-12,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Mac Barnett & Jon Klassen - Co-presented with 826 Valencia,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-05-14,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Boots Riley - Co-presented with KQED in conversation with Alexis Madrigal,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-05-28,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
"Elizabeth Stordeur Pryor - Richard Pryor, a Notorious Word, and Me",Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-06-01,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Ben Rhodes,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-06-09,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Laverne Cox,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-06-11,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Bella Freud in conversation with Rachel Kushner,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-06-15,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
Eddie Huang,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-06-24,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
